event_index,event_type,start_time,end_time,duration,observer_index,target_index,task_index,level,param,class
32,report_satellite_validation_miss,2024/4/25 4:14,None,None,40,3,5,0,,report
33,aircraft_reconnoitre_complete,2024/4/25 4:21,2024/4/25 4:06,0,1,1,2,0,,action
34,report_mission_over,2024/4/25 4:21,2024/4/25 4:06,0,1,1,2,0,information,report
35,aircraft_reconnoitre_complete,2024/4/25 4:34,2024/4/25 4:08,0,3,2,3,0,,action
36,report_mission_over,2024/4/25 4:35,2024/4/25 4:08,0,3,2,3,0,information,report
37,report_satellite_validation,2024/4/25 4:36,None,None,40,2,3,0,,report
38,rule_assign_aircraft_reconnoitre,2024/4/25 4:38,None,None,-1,2,3,0,[1; 3],rule
39,aircraft_arrival,2024/4/25 4:42,2024/4/25 4:38,0,3,2,3,0,,action
40,aircraft_arrival,2024/4/25 4:42,2024/4/25 4:38,0,1,2,3,0,,action
41,aircraft_reconnoitre_complete,2024/4/25 4:47,2024/4/25 4:08,0,2,2,3,0,,action
42,report_mission_over,2024/4/25 4:48,2024/4/25 4:08,0,2,2,3,0,information,report
43,report_satellite_validation,2024/4/25 4:50,None,None,40,3,5,0,,report
44,rule_assign_aircraft_reconnoitre,2024/4/25 4:51,None,None,-1,3,5,0,[2; 4],rule
45,aircraft_arrival,2024/4/25 4:55,2024/4/25 4:51,0,4,3,5,0,,action
46,aircraft_arrival,2024/4/25 4:56,2024/4/25 4:51,0,2,3,5,0,,action
47,aircraft_reconnoitre_complete,2024/4/25 5:06,2024/4/25 4:06,0,0,1,2,0,,action
48,report_mission_over,2024/4/25 5:06,2024/4/25 4:06,0,0,1,2,0,information,report
49,aircraft_reconnoitre_complete,2024/4/25 5:07,2024/4/25 4:38,0,3,2,3,0,,action
50,report_mission_over,2024/4/25 5:08,2024/4/25 4:38,0,3,2,3,0,information,report
51,report_satellite_validation,2024/4/25 5:09,None,None,40,1,2,0,,report
52,rule_assign_aircraft_reconnoitre,2024/4/25 5:10,None,None,-1,1,2,0,[0; 3],rule
53,aircraft_reconnoitre_complete,2024/4/25 5:12,2024/4/25 4:38,0,1,2,3,0,,action
54,report_mission_over,2024/4/25 5:13,2024/4/25 4:38,0,1,2,3,0,information,report
55,aircraft_arrival,2024/4/25 5:14,2024/4/25 5:10,0,0,1,2,0,,action
56,aircraft_arrival,2024/4/25 5:14,2024/4/25 5:10,0,3,1,2,0,,action
57,aircraft_reconnoitre_complete,2024/4/25 5:17,2024/4/25 4:51,0,4,3,5,0,,action
58,report_mission_over,2024/4/25 5:17,2024/4/25 4:51,0,4,3,5,0,information,report
59,report_satellite_validation,2024/4/25 5:20,None,None,40,0,1,0,,report
60,rule_assign_aircraft_reconnoitre,2024/4/25 5:22,None,None,-1,0,1,0,[1; 4],rule
61,aircraft_arrival,2024/4/25 5:24,2024/4/25 5:22,0,4,0,1,0,,action
62,aircraft_arrival,2024/4/25 5:26,2024/4/25 5:22,0,1,0,1,0,,action
63,aircraft_reconnoitre_complete,2024/4/25 5:52,2024/4/25 4:51,0,2,3,5,0,,action
64,report_mission_over,2024/4/25 5:52,2024/4/25 4:51,0,2,3,5,0,information,report
65,aircraft_reconnoitre_complete,2024/4/25 5:54,2024/4/25 5:22,0,1,0,1,0,,action
66,report_mission_over,2024/4/25 5:54,2024/4/25 5:22,0,1,0,1,0,information,report
67,aircraft_reconnoitre_complete,2024/4/25 6:04,2024/4/25 5:10,0,3,1,2,0,,action
68,report_mission_over,2024/4/25 6:04,2024/4/25 5:10,0,3,1,2,0,information,report
69,aircraft_reconnoitre_complete,2024/4/25 6:17,2024/4/25 5:10,0,0,1,2,0,,action
70,report_mission_over,2024/4/25 6:17,2024/4/25 5:10,0,0,1,2,0,information,report
71,aircraft_reconnoitre_complete,2024/4/25 6:26,2024/4/25 5:22,0,4,0,1,0,,action
72,report_mission_over,2024/4/25 6:27,2024/4/25 5:22,0,4,0,1,0,information,report
