event_index,event_type,start_time,end_time,duration,observer_index,target_index,task_index,level,param,class
32,aircraft_arrival,2024/4/25 4:20,2024/4/25 4:16,0,2,0,4,0,,action
33,aircraft_reconnoitre_complete,2024/4/25 4:26,2024/4/25 4:14,0,1,2,3,0,,action
34,report_mission_over,2024/4/25 4:26,2024/4/25 4:14,0,1,2,3,0,information,report
35,aircraft_reconnoitre_complete,2024/4/25 4:27,2024/4/25 4:16,0,3,0,4,0,,action
36,report_mission_over,2024/4/25 4:27,2024/4/25 4:16,0,3,0,4,0,information,report
37,report_satellite_validation,2024/4/25 4:35,None,None,40,1,2,0,,report
38,rule_assign_aircraft_reconnoitre,2024/4/25 4:37,None,None,-1,1,2,0,[1; 3],rule
39,aircraft_arrival,2024/4/25 4:40,2024/4/25 4:37,0,1,1,2,0,,action
40,aircraft_arrival,2024/4/25 4:40,2024/4/25 4:37,0,3,1,2,0,,action
41,report_satellite_validation,2024/4/25 4:53,None,None,40,3,5,0,,report
42,rule_assign_aircraft_reconnoitre,2024/4/25 4:54,None,None,-1,3,5,0,[4; 5],rule
43,aircraft_reconnoitre_complete,2024/4/25 4:56,2024/4/25 4:14,0,0,2,3,0,,action
44,report_mission_over,2024/4/25 4:56,2024/4/25 4:14,0,0,2,3,0,information,report
45,aircraft_arrival,2024/4/25 4:58,2024/4/25 4:54,0,4,3,5,0,,action
46,aircraft_reconnoitre_complete,2024/4/25 4:58,2024/4/25 4:16,0,2,0,4,0,,action
47,report_mission_over,2024/4/25 4:58,2024/4/25 4:16,0,2,0,4,0,information,report
48,aircraft_arrival,2024/4/25 4:59,2024/4/25 4:54,0,5,3,5,0,,action
49,report_satellite_validation,2024/4/25 5:00,None,None,40,2,3,0,,report
50,rule_assign_aircraft_reconnoitre,2024/4/25 5:01,None,None,-1,2,3,0,[0; 2],rule
51,aircraft_arrival,2024/4/25 5:06,2024/4/25 5:01,0,0,2,3,0,,action
52,aircraft_arrival,2024/4/25 5:06,2024/4/25 5:01,0,2,2,3,0,,action
53,aircraft_reconnoitre_complete,2024/4/25 5:13,2024/4/25 4:54,0,4,3,5,0,,action
54,report_mission_over,2024/4/25 5:13,2024/4/25 4:54,0,4,3,5,0,information,report
55,aircraft_reconnoitre_complete,2024/4/25 5:17,2024/4/25 4:54,0,5,3,5,0,,action
56,report_mission_over,2024/4/25 5:17,2024/4/25 4:54,0,5,3,5,0,information,report
57,report_satellite_validation,2024/4/25 5:18,None,None,35,0,4,0,,report
58,rule_assign_aircraft_reconnoitre,2024/4/25 5:20,None,None,-1,0,4,0,[4; 5],rule
59,aircraft_arrival,2024/4/25 5:23,2024/4/25 5:20,0,4,0,4,0,,action
60,aircraft_arrival,2024/4/25 5:24,2024/4/25 5:20,0,5,0,4,0,,action
61,aircraft_reconnoitre_complete,2024/4/25 5:25,2024/4/25 4:37,0,3,1,2,0,,action
62,report_mission_over,2024/4/25 5:25,2024/4/25 4:37,0,3,1,2,0,information,report
63,aircraft_reconnoitre_complete,2024/4/25 5:45,2024/4/25 4:37,0,1,1,2,0,,action
64,report_mission_over,2024/4/25 5:45,2024/4/25 4:37,0,1,1,2,0,information,report
65,aircraft_reconnoitre_complete,2024/4/25 5:46,2024/4/25 5:20,0,4,0,4,0,,action
66,report_mission_over,2024/4/25 5:46,2024/4/25 5:20,0,4,0,4,0,information,report
67,aircraft_reconnoitre_complete,2024/4/25 5:53,2024/4/25 5:01,0,2,2,3,0,,action
68,report_mission_over,2024/4/25 5:53,2024/4/25 5:01,0,2,2,3,0,information,report
69,aircraft_reconnoitre_complete,2024/4/25 6:32,2024/4/25 5:01,0,0,2,3,0,,action
70,report_mission_over,2024/4/25 6:32,2024/4/25 5:01,0,0,2,3,0,information,report
71,aircraft_reconnoitre_complete,2024/4/25 6:51,2024/4/25 5:20,0,5,0,4,0,,action
72,report_mission_over,2024/4/25 6:51,2024/4/25 5:20,0,5,0,4,0,information,report
